A15,B86,C69,D56,E33,F2,G10,H41,I17,J19
A99,B47,C12,D1,E1,F39,G51,H62,I65,J65
A14,B66,C41,D39,E7,F60,G77,H84,I57,J34
A87,B72,C96,D93,E56,F16,G44,H27,I88,J24
A77,B84,C100,D100,E62,F41,G27,H33,I86,J3
A34,B11,C65,D7,E1,F92,G28,H31,I64,J72
A83,B72,C45,D23,E74,F47,G44,H96,I78,J13
A57,B41,C71,D66,E58,F38,G16,H26,I47,J81
A49,B100,C73,D39,E19,F64,G47,H8,I74,J55
A13,B95,C14,D92,E69,F32,G41,H8,I97,J71
A13,B87,C81,D63,E21,F20,G80,H52,I18,J55
A71,B43,C25,D62,E68,F74,G70,H52,I14,J41
A83,B4,C48,D71,E45,F12,G95,H94,I60,J38
A44,B40,C84,D36,E48,F29,G99,H33,I78,J61
A17,B76,C83,D44,E52,F89,G3,H100,I62,J6
A50,B22,C83,D67,E66,F22,G83,H14,I13,J76
A28,B94,C26,D38,E16,F72,G82,H75,I65,J77
A22,B16,C1,D7,E80,F85,G22,H13,I60,J2
A10,B48,C73,D73,E56,F9,G42,H23,I74,J33
A41,B26,C54,D58,E63,F18,G48,H97,I74,J93
A17,B36,C17,D100,E48,F100,G11,H67,I11,J48
A93,B6,C89,D33,E25,F76,G39,H23,I67,J64
A42,B49,C57,D68,E85,F82,G60,H77,I61,J42
A16,B73,C52,D92,E27,F21,G58,H75,I63,J39
A46,B9,C72,D66,E62,F68,G79,H17,I62,J87
A91,B61,C70,D5,E67,F98,G32,H62,I34,J20
A9,B87,C84,D78,E18,F35,G9,H9,I69,J83
A52,B47,C37,D34,E49,F50,G16,H36,I78,J35
A82,B96,C86,D76,E33,F94,G14,H8,I81,J57
A58,B96,C8,D89,E65,F34,G11,H55,I26,J33
A92,B56,C63,D13,E52,F40,G47,H83,I56,J42
A67,B55,C57,D44,E1,F69,G11,H67,I88,J53
A73,B52,C35,D81,E57,F38,G96,H68,I20,J41
A11,B74,C95,D66,E4,F35,G6,H69,I15,J86
A86,B60,C70,D87,E2,F14,G69,H67,I25,J8
A15,B62,C31,D36,E40,F65,G79,H84,I57,J65
A79,B90,C14,D68,E43,F27,G15,H88,I8,J47
A55,B33,C51,D26,E34,F12,G79,H16,I32,J80
A89,B78,C72,D66,E39,F85,G24,H89,I26,J28
A51,B99,C6,D10,E55,F44,G10,H29,I90,J26
A13,B14,C93,D10,E6,F7,G33,H93,I44,J48
A95,B83,C50,D86,E69,F41,G27,H1,I57,J96
A37,B27,C55,D29,E68,F95,G42,H91,I1,J95
A58,B78,C54,D16,E25,F40,G1,H46,I10,J69
A85,B8,C80,D71,E69,F79,G51,H73,I17,J72
A71,B77,C4,D88,E65,F69,G9,H60,I96,J7
A25,B16,C99,D67,E32,F92,G36,H74,I25,J18
A21,B54,C90,D12,E90,F45,G9,H82,I20,J98
A76,B87,C20,D50,E1,F74,G12,H45,I35,J100
A3,B28,C18,D28,E17,F61,G88,H95,I22,J79
A62,B65,C90,D50,E92,F65,G16,H69,I62,J46
A94,B55,C55,D58,E28,F41,G34,H5,I82,J22
A6,B42,C56,D9,E22,F17,G62,H50,I65,J73
A41,B68,C36,D85,E60,F22,G95,H90,I44,J99
A16,B89,C54,D49,E63,F70,G6,H32,I29,J45
A89,B70,C71,D91,E42,F41,G90,H35,I43,J61
A32,B73,C72,D77,E74,F16,G21,H31,I72,J92
A34,B53,C11,D92,E23,F51,G63,H48,I73,J11
A7,B9,C3,D40,E34,F68,G15,H44,I8,J71
A71,B22,C67,D66,E65,F54,G11,H59,I6,J98
A43,B97,C70,D58,E68,F68,G36,H43,I6,J82
A15,B7,C28,D81,E24,F34,G46,H2,I49,J55
A58,B75,C37,D39,E84,F94,G60,H100,I7,J60
A86,B41,C28,D32,E3,F60,G38,H3,I4,J50
A85,B94,C37,D76,E62,F80,G87,H63,I64,J9
A78,B49,C56,D64,E58,F81,G65,H38,I2,J30
A31,B26,C75,D41,E87,F13,G71,H68,I91,J21
A51,B90,C76,D97,E22,F90,G78,H96,I87,J90
A60,B21,C59,D30,E28,F72,G77,H20,I75,J52
A7,B80,C84,D15,E34,F56,G45,H80,I22,J75
A100,B2,C62,D73,E20,F8,G28,H72,I86,J60
A34,B77,C21,D68,E26,F22,G97,H32,I3,J78
A13,B6,C1,D39,E64,F36,G40,H46,I11,J59
A68,B37,C63,D89,E55,F56,G6,H51,I29,J47
A86,B51,C9,D61,E71,F77,G86,H88,I33,J87
A62,B74,C81,D80,E87,F91,G91,H57,I49,J13
A32,B82,C39,D20,E1,F64,G76,H8,I11,J43
A66,B80,C15,D17,E6,F36,G2,H99,I69,J7
A91,B64,C40,D3,E27,F41,G63,H82,I3,J84
A12,B63,C52,D99,E49,F23,G30,H82,I38,J52
A58,B12,C99,D79,E17,F46,G69,H100,I81,J68
A60,B95,C66,D33,E58,F31,G52,H76,I28,J59
A46,B95,C64,D80,E63,F46,G78,H79,I100,J23
A61,B91,C56,D93,E53,F49,G43,H91,I95,J21
A22,B23,C71,D95,E63,F5,G62,H4,I60,J59
A42,B7,C100,D15,E61,F6,G18,H71,I37,J35
A63,B44,C39,D25,E68,F18,G47,H56,I83,J48
A1,B37,C34,D15,E82,F72,G89,H69,I70,J56
A72,B73,C96,D51,E39,F13,G90,H86,I50,J13
A86,B76,C4,D46,E94,F8,G17,H24,I14,J63
A10,B62,C55,D73,E73,F91,G65,H34,I83,J42
A100,B77,C19,D20,E42,F20,G56,H22,I97,J22
A35,B33,C12,D23,E6,F76,G74,H90,I1,J49
A40,B80,C43,D54,E75,F26,G53,H11,I93,J90
A85,B7,C46,D68,E74,F74,G26,H93,I82,J23
A53,B6,C49,D82,E70,F3,G71,H60,I92,J88
A78,B33,C36,D53,E6,F64,G1,H81,I79,J25
A13,B7,C64,D4,E38,F68,G78,H48,I99,J67
A27,B50,C87,D9,E12,F16,G15,H93,I35,J41
A80,B6,C80,D27,E90,F28,G27,H24,I26,J85
A87,B89,C83,D66,E5,F19,G19,H40,I50,J21
A89,B62,C51,D92,E54,F72,G100,H98,I88,J85
A13,B40,C26,D20,E98,F73,G70,H4,I69,J82
A72,B81,C12,D76,E40,F64,G91,H91,I4,J79
A42,B1,C21,D46,E18,F92,G48,H28,I79,J91
A19,B4,C75,D26,E57,F80,G84,H37,I59,J100
A86,B64,C21,D83,E40,F38,G4,H61,I44,J14
A29,B90,C19,D95,E14,F84,G89,H49,I25,J67
A53,B62,C39,D2,E86,F16,G27,H33,I72,J60
A96,B61,C77,D47,E81,F73,G15,H57,I3,J1
A73,B36,C90,D51,E76,F6,G61,H3,I73,J98
A47,B70,C24,D84,E65,F59,G27,H87,I51,J77
A32,B2,C44,D67,E43,F40,G3,H32,I64,J89
A40,B93,C35,D58,E2,F98,G86,H48,I74,J37
A58,B52,C53,D5,E41,F25,G94,H89,I97,J65
A56,B9,C37,D34,E52,F9,G87,H34,I81,J94
A56,B24,C25,D61,E87,F27,G30,H77,I88,J26
A17,B47,C88,D62,E4,F100,G7,H67,I29,J19
A10,B26,C46,D97,E6,F9,G33,H32,I56,J53
A38,B93,C57,D33,E50,F42,G95,H60,I85,J81
A79,B60,C86,D36,E94,F29,G94,H76,I15,J79
A44,B20,C3,D5,E48,F86,G15,H2,I24,J83
A78,B77,C63,D34,E78,F92,G83,H27,I55,J3
A6,B4,C32,D75,E44,F20,G30,H21,I78,J16
A5,B54,C33,D83,E18,F90,G14,H4,I21,J83
A22,B58,C31,D59,E66,F87,G93,H96,I12,J18
A53,B80,C89,D9,E87,F81,G37,H60,I72,J49
A25,B95,C99,D77,E60,F29,G14,H23,I65,J53
A32,B25,C44,D73,E95,F66,G99,H27,I56,J27
A89,B51,C29,D59,E58,F36,G34,H19,I33,J25
A92,B73,C79,D70,E68,F29,G75,H8,I76,J87
A31,B5,C45,D3,E84,F61,G52,H65,I62,J79
A62,B69,C74,D88,E18,F44,G77,H3,I48,J5
A48,B30,C7,D28,E99,F50,G59,H8,I41,J96
A85,B36,C22,D33,E6,F100,G18,H8,I25,J34
A77,B65,C9,D30,E16,F24,G54,H20,I68,J13
A42,B75,C30,D7,E31,F68,G87,H62,I88,J10
A78,B100,C60,D67,E60,F58,G20,H99,I26,J5
A21,B28,C37,D82,E30,F90,G37,H77,I24,J6
A58,B38,C33,D71,E98,F24,G89,H39,I96,J70
A18,B31,C32,D58,E32,F24,G11,H12,I75,J85
A65,B81,C1,D54,E61,F94,G29,H66,I78,J88
A91,B83,C57,D34,E78,F17,G52,H74,I44,J100
A9,B44,C3,D73,E29,F19,G24,H22,I88,J78
A4,B50,C6,D97,E10,F56,G96,H62,I89,J45
A37,B44,C63,D84,E95,F30,G1,H67,I6,J69
A39,B96,C57,D23,E44,F36,G60,H85,I1,J12
A36,B30,C29,D84,E85,F33,G21,H61,I52,J100
A40,B40,C38,D43,E59,F87,G33,H44,I96,J55
A39,B61,C76,D10,E17,F23,G10,H36,I52,J67
A30,B9,C58,D17,E31,F82,G42,H100,I25,J13
A49,B29,C1,D62,E77,F12,G97,H41,I91,J56
A20,B33,C44,D35,E44,F75,G83,H43,I47,J75
A72,B11,C8,D79,E84,F62,G35,H52,I11,J46
A16,B37,C91,D26,E34,F17,G34,H21,I31,J23
A15,B36,C7,D55,E97,F80,G43,H93,I21,J53
A44,B69,C23,D95,E31,F32,G81,H85,I68,J81
A1,B29,C26,D96,E86,F51,G69,H29,I93,J53
A8,B82,C8,D32,E41,F63,G49,H48,I16,J98
A6,B1,C91,D46,E75,F21,G11,H47,I72,J57
A81,B83,C25,D55,E87,F17,G97,H59,I25,J8
A18,B22,C18,D23,E96,F58,G72,H33,I72,J80
A92,B93,C83,D29,E12,F7,G90,H17,I90,J40
A96,B41,C30,D73,E89,F40,G41,H72,I30,J53
A50,B80,C78,D78,E51,F82,G53,H31,I39,J7
A91,B76,C33,D32,E24,F34,G6,H90,I28,J45
A12,B87,C58,D81,E22,F46,G74,H48,I68,J82
A15,B35,C97,D75,E22,F86,G5,H79,I5,J15
A7,B56,C54,D58,E24,F9,G31,H8,I46,J15
A22,B82,C47,D30,E99,F91,G13,H32,I75,J51
A26,B37,C49,D83,E54,F8,G82,H60,I12,J55
A95,B72,C44,D50,E92,F54,G36,H91,I70,J14
A48,B13,C25,D59,E79,F39,G85,H79,I51,J40
A41,B59,C34,D68,E57,F48,G83,H21,I2,J13
A4,B25,C23,D45,E70,F45,G14,H59,I87,J82
A19,B92,C28,D17,E61,F2,G96,H59,I43,J2
A21,B88,C56,D18,E2,F53,G91,H70,I26,J45
A97,B11,C36,D55,E36,F35,G60,H28,I33,J58
A89,B50,C30,D72,E49,F57,G40,H94,I14,J70
A13,B27,C11,D12,E69,F82,G47,H50,I70,J46
